epoch,loss,accuracy,Liccl,Licmrl,Lpsl,val_loss,val_accuracy,lambda1,lambda2,lambda3,log_var_0,log_var_1,log_var_2,log_var_3
1,9.371335983276367,0.46543142199516296,0.34879225492477417,0.08692917227745056,0.21541541814804077,26.391172409057617,0.05958564206957817,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,6.325273036956787,0.7372997999191284,0.32374829053878784,0.05847488343715668,0.15580415725708008,18.87061309814453,0.12310999631881714,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3,5.447680473327637,0.8219477534294128,0.3410654664039612,0.053463324904441833,0.12253502756357193,7.140076637268066,0.683417022228241,1.0,1.0,1.0,0.0,0.0,0.0,0.0
4,4.936307430267334,0.8651584982872009,0.33436670899391174,0.03959028795361519,0.1007700115442276,7.720737457275391,0.643294095993042,1.0,1.0,1.0,0.0,0.0,0.0,0.0
5,4.612849235534668,0.8934355974197388,0.3376656174659729,0.028987092897295952,0.08142488449811935,12.419818878173828,0.46032434701919556,1.0,1.0,1.0,0.0,0.0,0.0,0.0
6,4.384514808654785,0.9110354781150818,0.3581463098526001,0.02413835935294628,0.06666373461484909,5.261102199554443,0.8685941696166992,1.0,1.0,1.0,0.0,0.0,0.0,0.0
7,4.248141765594482,0.9203840494155884,0.3529623746871948,0.023960238322615623,0.05829022824764252,6.848135948181152,0.7387897968292236,1.0,1.0,1.0,0.0,0.0,0.0,0.0
8,4.102513313293457,0.9325912594795227,0.35438671708106995,0.016325365751981735,0.04785889387130737,5.149465560913086,0.8704120516777039,1.0,1.0,1.0,0.0,0.0,0.0,0.0
9,3.9834675788879395,0.9400580525398254,0.3970690071582794,0.020618638023734093,0.03883785754442215,4.804002285003662,0.8836565017700195,1.0,1.0,1.0,0.0,0.0,0.0,0.0
10,3.7849228382110596,0.955421507358551,0.34681767225265503,0.011331072077155113,0.0340830460190773,6.15508508682251,0.7927054762840271,1.0,1.0,1.0,0.0,0.0,0.0,0.0
11,3.7310304641723633,0.9602611064910889,0.3644895553588867,0.013754468411207199,0.03146093338727951,4.6683454513549805,0.9019361734390259,1.0,1.0,1.0,0.0,0.0,0.0,0.0
12,3.697965621948242,0.9619895219802856,0.3568282127380371,0.013558585196733475,0.029520535841584206,4.927494525909424,0.88823002576828,1.0,1.0,1.0,0.0,0.0,0.0,0.0
13,3.666611909866333,0.9643252491950989,0.3643883466720581,0.0110743697732687,0.02625134587287903,5.015145301818848,0.8839306235313416,1.0,1.0,1.0,0.0,0.0,0.0,0.0
14,3.6344804763793945,0.9685425758361816,0.3582767844200134,0.005713683553040028,0.02427791617810726,4.706585884094238,0.9003779888153076,1.0,1.0,1.0,0.0,0.0,0.0,0.0
15,3.602107048034668,0.9682660102844238,0.31173205375671387,0.003201115410774946,0.023540815338492393,6.234854698181152,0.7882329225540161,1.0,1.0,1.0,0.0,0.0,0.0,0.0
16,3.5625951290130615,0.9713080525398254,0.3792530298233032,0.006870810873806477,0.021269407123327255,5.1648850440979,0.8622748851776123,1.0,1.0,1.0,0.0,0.0,0.0,0.0
17,1.6661409139633179,0.9765625,0.2362966239452362,0.027527304366230965,0.08371704071760178,2.40583872795105,0.9400536417961121,1.0,1.0,1.0,0.307388037443161,-0.3578272759914398,-0.35654425621032715,-0.3555249571800232
18,0.7862581014633179,0.9780144095420837,0.1359245777130127,0.06300652772188187,0.18948239088058472,2.024362564086914,0.9114438891410828,1.0,1.0,1.0,0.4202911853790283,-0.5422084927558899,-0.5257378220558167,-0.5216854214668274
