epoch,loss,accuracy,Liccl,Licmrl,Lpsl,val_loss,val_accuracy,lambda1,lambda2,lambda3,log_var_0,log_var_1,log_var_2,log_var_3
19,0.4192078113555908,0.9803650379180908,0.11362454295158386,0.07890172302722931,0.23424461483955383,1.5134148597717285,0.9349319338798523,1.0,1.0,1.0,0.46804168820381165,-0.6437028050422668,-0.6139509677886963,-0.6068399548530579
20,0.16202349960803986,0.9816786646842957,0.09332659840583801,0.08840591460466385,0.2587600350379944,1.262087106704712,0.9351194500923157,1.0,1.0,1.0,0.5094934701919556,-0.7458099126815796,-0.7020727396011353,-0.6913902759552002
21,-0.09068527817726135,0.9825774431228638,0.08841362595558167,0.0991651713848114,0.276275098323822,1.031943917274475,0.9321040511131287,1.0,1.0,1.0,0.5450950264930725,-0.8473309278488159,-0.790087878704071,-0.7754479050636292
22,-0.3277874290943146,0.9835453629493713,0.07132017612457275,0.09342499822378159,0.29017695784568787,0.7898805737495422,0.9290887117385864,1.0,1.0,1.0,0.5761014819145203,-0.9474660158157349,-0.8778265118598938,-0.8588858246803284
23,-0.5683788061141968,0.9844441413879395,0.06957376003265381,0.09547712653875351,0.2914407551288605,0.5938356518745422,0.9222356677055359,1.0,1.0,1.0,0.6020467281341553,-1.0461710691452026,-0.965350866317749,-0.9417517781257629
24,-0.7982707023620605,0.9834762215614319,0.05979275703430176,0.09991511702537537,0.2967875599861145,0.4539773464202881,0.9087026715278625,1.0,1.0,1.0,0.6245490312576294,-1.142919898033142,-1.0526204109191895,-1.0241235494613647
25,-1.0253409147262573,0.9839060306549072,0.06090404465794563,0.09242548048496246,0.2933390736579895,0.14988093078136444,0.9235197305679321,1.0,1.0,1.0,0.6430384516716003,-1.237931728363037,-1.139356255531311,-1.105643630027771
26,-1.2555245161056519,0.9840984344482422,0.05956428870558739,0.0949573889374733,0.28947699069976807,-0.07671583443880081,0.9125403761863708,1.0,1.0,1.0,0.6577392816543579,-1.3310967683792114,-1.2258124351501465,-1.1866204738616943
27,-1.463517189025879,0.985412061214447,0.051712580025196075,0.10045786201953888,0.30933451652526855,-0.37107232213020325,0.9444395899772644,1.0,1.0,1.0,0.6669228076934814,-1.4041651487350464,-1.2943122386932373,-1.2502949237823486
28,-1.5799528360366821,0.9857577681541443,0.048488594591617584,0.10116799920797348,0.314742773771286,-0.3835020959377289,0.9378606677055359,1.0,1.0,1.0,0.6709055304527283,-1.453346610069275,-1.3392351865768433,-1.2910127639770508
29,-1.6918038129806519,0.9870713353157043,0.04557998478412628,0.09988581389188766,0.31643056869506836,-0.6011298894882202,0.9492872953414917,1.0,1.0,1.0,0.6742280125617981,-1.505479335784912,-1.3867847919464111,-1.3337851762771606
30,-1.8122795820236206,0.986449122428894,0.044489264488220215,0.09439810365438461,0.31192851066589355,-0.766541600227356,0.9521150588989258,1.0,1.0,1.0,0.677073061466217,-1.5602737665176392,-1.4369597434997559,-1.3786131143569946
31,-1.9448500871658325,0.98762446641922,0.04497697576880455,0.09255120158195496,0.30768027901649475,-0.7305972576141357,0.9346578121185303,1.0,1.0,1.0,0.6790814399719238,-1.617319107055664,-1.48978853225708,-1.425652027130127
32,-2.074465036392212,0.9863799810409546,0.04544490948319435,0.09781058877706528,0.304000586271286,-1.0419408082962036,0.9556786417961121,1.0,1.0,1.0,0.681294322013855,-1.6763514280319214,-1.5449705123901367,-1.4745213985443115
33,-2.203129291534424,0.9857577681541443,0.05167398229241371,0.0940229594707489,0.3002181053161621,-1.2820724248886108,0.9657346606254578,1.0,1.0,1.0,0.6835904717445374,-1.7369492053985596,-1.602089285850525,-1.5248078107833862
34,-2.3456079959869385,0.986449122428894,0.051427699625492096,0.09396357834339142,0.29491811990737915,-1.3250411748886108,0.9603387117385864,1.0,1.0,1.0,0.6848565340042114,-1.7988218069076538,-1.6610028743743896,-1.5764278173446655
35,-2.480304479598999,0.9846665263175964,0.03871157765388489,0.08058907836675644,0.2940768301486969,-1.4664199352264404,0.9597904682159424,1.0,1.0,1.0,0.6865168809890747,-1.8615882396697998,-1.7212690114974976,-1.6288962364196777
36,-2.60870099067688,0.9882466793060303,0.04543633759021759,0.09067870676517487,0.30254659056663513,-1.7190070152282715,0.9769737124443054,1.0,1.0,1.0,0.6860486268997192,-1.9077311754226685,-1.7654597759246826,-1.6667567491531372
37,-2.673638105392456,0.9882466793060303,0.037289027124643326,0.087599016726017,0.3047851622104645,-1.715357780456543,0.970481276512146,1.0,1.0,1.0,0.6851530075073242,-1.9422962665557861,-1.7978425025939941,-1.6936630010604858
38,-2.746742010116577,0.9892145991325378,0.03338615596294403,0.08242473751306534,0.3037245571613312,-1.798708200454712,0.9726742506027222,1.0,1.0,1.0,0.6838973164558411,-1.97903573513031,-1.832148551940918,-1.7218741178512573
39,-2.8162074089050293,0.9880392551422119,0.04138808697462082,0.096575528383255,0.30465230345726013,-1.8082853555679321,0.9682883024215698,1.0,1.0,1.0,0.6831328868865967,-2.017717123031616,-1.8683104515075684,-1.7513023614883423
40,-2.892742395401001,0.9892837405204773,0.03278156742453575,0.09030483663082123,0.30267301201820374,-1.8466283082962036,0.9676535129547119,1.0,1.0,1.0,0.6827613115310669,-2.0582685470581055,-1.9062260389328003,-1.78180730342865
41,-2.976450204849243,0.98762446641922,0.04067907854914665,0.08657776564359665,0.30190548300743103,-1.9560375213623047,0.969298243522644,1.0,1.0,1.0,0.6822646856307983,-2.1004974842071533,-1.9458202123641968,-1.813430666923523
42,-3.0566837787628174,0.9887306690216064,0.03606204316020012,0.08936456590890884,0.30002421140670776,-1.9504179954528809,0.9660087823867798,1.0,1.0,1.0,0.6818017363548279,-2.144146203994751,-1.9868190288543701,-1.8457694053649902
43,-3.139103889465332,0.9876936078071594,0.035652004182338715,0.08657867461442947,0.2973839044570923,-1.9521998167037964,0.9561403393745422,1.0,1.0,1.0,0.6817126870155334,-2.1889243125915527,-2.0290322303771973,-1.8787907361984253
44,-3.220020294189453,0.9890763163566589,0.031688839197158813,0.08074920624494553,0.30027058720588684,-2.0081207752227783,0.9577850699424744,1.0,1.0,1.0,0.6810910701751709,-2.234589099884033,-2.072080135345459,-1.9119805097579956
45,-3.2835919857025146,0.9883849620819092,0.03283747285604477,0.08309515565633774,0.3076905906200409,-2.194969892501831,0.968475878238678,1.0,1.0,1.0,0.6802658438682556,-2.264782428741455,-2.100338935852051,-1.933174967765808
46,-3.317927360534668,0.9887306690216064,0.03204644098877907,0.08822756260633469,0.3095875382423401,-2.1744449138641357,0.9657346606254578,1.0,1.0,1.0,0.6797405481338501,-2.2899274826049805,-2.1233699321746826,-1.9498156309127808
47,-3.3553824424743652,0.988661527633667,0.03467673063278198,0.08676279336214066,0.3081158399581909,-2.1479578018188477,0.9643640518188477,1.0,1.0,1.0,0.6790267825126648,-2.3164327144622803,-2.1474947929382324,-1.9669184684753418
48,-3.3960695266723633,0.9890763163566589,0.03371463716030121,0.08775456249713898,0.3113739788532257,-2.321751594543457,0.9742324352264404,1.0,1.0,1.0,0.6784800887107849,-2.3441219329833984,-2.1727023124694824,-1.9844914674758911
49,-3.4437828063964844,0.9887997508049011,0.03477400541305542,0.08958981931209564,0.3107093870639801,-2.2493832111358643,0.968201756477356,1.0,1.0,1.0,0.6778072118759155,-2.3731377124786377,-2.1989331245422363,-2.002446413040161
50,-3.4946677684783936,0.9897676706314087,0.03346054628491402,0.08106032758951187,0.3116113543510437,-2.351494073867798,0.9688365459442139,1.0,1.0,1.0,0.6769652962684631,-2.4031364917755127,-2.2260985374450684,-2.020843029022217
51,-3.5376105308532715,0.9900442361831665,0.03013424202799797,0.08445261418819427,0.31274235248565674,-2.260108232498169,0.9657346606254578,1.0,1.0,1.0,0.6765700578689575,-2.433983564376831,-2.2540247440338135,-2.039447546005249
52,-3.581210136413574,0.9897676706314087,0.030799347907304764,0.08460485190153122,0.31135067343711853,-2.2158031463623047,0.9564144611358643,1.0,1.0,1.0,0.6759791374206543,-2.4654645919799805,-2.282421350479126,-2.0579581260681152
53,-3.62429141998291,0.9892145991325378,0.02892475388944149,0.08853865414857864,0.31055259704589844,-2.233175754547119,0.9573233723640442,1.0,1.0,1.0,0.6755121350288391,-2.4973976612091064,-2.311213254928589,-2.0763683319091797
54,-3.654357433319092,0.9890221953392029,0.022617053240537643,0.08911740034818649,0.31756067276000977,-2.521998405456543,0.9701206088066101,1.0,1.0,1.0,0.6752312779426575,-2.5160410404205322,-2.3278775215148926,-2.0866215229034424
55,-3.6717798709869385,0.989698588848114,0.03494006395339966,0.09497732669115067,0.31837716698646545,-2.519702672958374,0.9706688523292542,1.0,1.0,1.0,0.6750518083572388,-2.5333127975463867,-2.3430888652801514,-2.095609664916992
56,-3.6910345554351807,0.9890763163566589,0.028917720541357994,0.09268476068973541,0.3217054009437561,-2.511650323867798,0.969024121761322,1.0,1.0,1.0,0.6749879717826843,-2.5512871742248535,-2.35884690284729,-2.1047182083129883
